AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0.28317505,0.11025259,0.65645343,0.3549571,0.21905224,1.0,0.22161849,0.018015686,0.0,0.2128136,0.6080969,0.28433952,0.54211414,0.0,0.5956686,0.79621536,0.08197133,0.042526115,0.35794774,0.0752471
0.5107961,0.31520995,0.26658496,0.4536831,0.21357988,0.0,0.31578743,0.016595885,1.0,0.19354002,0.43397552,0.4435929,0.45206454,0.0,0.35393032,0.43540892,0.93528223,0.25195295,0.30689743,0.56753546
0.5700987,0.50783443,0.20945263,0.3666381,0.09891519,0.0,0.16011083,0.019922331,1.0,0.06480576,0.19985217,0.3587077,0.40202,1.0,0.7213063,0.09478231,0.9740012,0.70995635,0.31340632,0.13340156
0.3125453,0.19826624,0.6386931,0.4379941,0.057751875,0.0,0.12280219,0.072407976,1.0,0.02163221,0.25085968,0.6708848,0.42845753,0.0,0.447449,0.0858784,0.86861223,0.37502414,0.18534411,0.1107954
0.4307641,0.09605395,0.53559947,0.2712747,0.23995055,0.0,0.36150855,0.0030896731,1.0,0.10857999,0.50288427,0.35611144,0.5776764,0.0,0.53700215,0.48359382,0.057636708,0.12836947,0.26161268,0.33551565
0.5598912,0.1689799,0.8815194,0.24466747,0.5435994,0.0,0.7883916,0.48855495,1.0,0.1702209,0.19878824,0.39680767,0.20377791,1.0,0.513144,0.016493937,0.99876344,0.6566416,0.06791212,0.79197836
0.2940204,0.13312939,0.33619893,0.35962215,0.7713702,1.0,0.2779895,0.8878401,1.0,0.8378759,0.598367,0.6567331,0.18912023,1.0,0.2724458,0.026074765,0.99995947,0.8613534,0.30053163,0.055827826
0.68422854,0.2883799,0.6430804,0.3499647,0.25974387,0.0,0.56309766,0.3478865,0.0,0.18845697,0.48913553,0.3270465,0.33311766,1.0,0.6753544,0.029254887,0.99807066,0.4908147,0.23588657,0.6924151
0.38489074,0.28524423,0.39534923,0.6843784,0.0840205,0.0,0.1543637,0.033209197,1.0,0.03499915,0.59749895,0.6669828,0.4726044,0.0,0.37465388,0.3247161,0.6004362,0.041539263,0.07203272,0.06903111
0.17965965,0.19535735,0.7985997,0.39060515,0.14013511,0.0,0.20553112,0.0136418585,0.0,0.11125838,0.62113285,0.3867239,0.5703709,0.0,0.7142175,0.73323256,0.006217205,0.064335935,0.55087674,0.08016241
0.5509203,0.53878164,0.866211,0.2710831,0.18351285,0.0,0.62072116,0.9144518,0.0,0.1283555,0.59632105,0.2099443,0.54065686,1.0,0.5378604,0.18845306,0.97222084,0.092466496,0.317593,0.3119596
0.63491684,0.38709646,0.25095552,0.5126695,0.07369782,0.0,0.12730443,0.05341084,0.0,0.02744199,0.31323522,0.38651475,0.43045938,0.0,0.27057794,0.05674601,0.9439841,0.5323858,0.04152144,0.12212113
0.45785117,0.19843331,0.52413595,0.36011103,0.054504115,0.0,0.12347103,0.0017323425,1.0,0.02307228,0.44874915,0.7219997,0.49200305,0.0,0.6061977,0.4827419,0.07442333,0.09412117,0.32056594,0.04425181
0.30998924,0.43181655,0.1948323,0.3839956,0.25157866,0.0,0.37082133,0.2929745,1.0,0.54583025,0.5117767,0.121921346,0.5991871,0.0,0.62437695,0.5381269,0.7855284,0.19229083,0.38632095,0.19039357
0.7117576,0.5069363,0.23677246,0.3379404,0.32606456,0.0,0.3667675,0.0038310168,0.0,0.35294744,0.7363904,0.38519907,0.4987666,0.0,0.50864637,0.6787891,0.041486852,0.17716126,0.16886568,0.17452791
0.17990904,0.14777288,0.67337227,0.2876491,0.24607216,1.0,0.51764995,0.16970436,0.0,0.43630356,0.61523587,0.18213598,0.3257397,1.0,0.5578635,0.05823827,0.9922071,0.20472543,0.0776733,0.21818452
0.2535542,0.25937787,0.32791972,0.34620804,0.07708036,1.0,0.17056097,0.56220907,1.0,0.16677792,0.4895162,0.53653294,0.3692131,0.0,0.3856476,0.7645393,0.19763951,0.108686835,0.13511229,0.08407589
0.7319676,0.60219604,0.326122,0.33862528,0.27298176,0.0,0.29504493,0.08612717,1.0,0.19016625,0.39953676,0.47118053,0.48684794,0.0,0.44989204,0.45366654,0.6080936,0.4695615,0.047142092,0.6016812
0.44289142,0.32096973,0.29235545,0.3449855,0.39509553,1.0,0.19173636,0.21244486,1.0,0.42480582,0.33104038,0.31239825,0.37806877,1.0,0.42762536,0.09501247,0.998198,0.42519236,0.08519956,0.17001735
0.3878287,0.2667451,0.7887386,0.50403965,0.35368812,0.0,0.33041352,0.80121934,1.0,0.19274126,0.46642703,0.68182546,0.35518497,1.0,0.86821455,0.1792635,0.99967766,0.60216,0.26013115,0.13553211
0.2717917,0.12789752,0.5361981,0.7314055,0.0806475,0.0,0.1899313,0.6834495,0.0,0.044140268,0.28168008,0.6882801,0.41084972,0.0,0.3171971,0.25743425,0.51134443,0.24511701,0.16923048,0.04706129
0.32408473,0.36522636,0.9240311,0.31493044,0.9039644,1.0,0.8141104,0.99166155,1.0,0.9581651,0.7132793,0.29075202,0.17247449,1.0,0.23065962,0.36363706,0.9909343,0.19167769,0.12639707,0.2075066
0.4985993,0.29617316,0.8158529,0.32141003,0.9417873,1.0,0.74835485,0.9777435,0.0,0.9681683,0.58200043,0.47094214,0.18484321,1.0,0.26828134,0.028213598,0.995602,0.7811733,0.07882519,0.41908917
0.26896122,0.34016445,0.2467367,0.7098009,0.052233785,0.0,0.092351645,0.009269647,0.0,0.040155396,0.657521,0.11211968,0.48313093,0.0,0.67533857,0.480286,0.5732876,0.17890874,0.12148946,0.029569704
0.35609457,0.4012884,0.29285264,0.37682465,0.18510342,0.0,0.15233652,0.4601303,1.0,0.22725216,0.25597674,0.34651715,0.49438342,0.0,0.64579445,0.098062046,0.9615375,0.81041694,0.37192065,0.057946116
0.27057344,0.16523863,0.69105935,0.37635097,0.34956744,1.0,0.36523083,0.9600433,1.0,0.37935382,0.41417444,0.15739475,0.24757507,1.0,0.5684501,0.030253517,0.9998311,0.52995396,0.09137579,0.059968356
0.58244497,0.3475741,0.5244604,0.65734076,0.100154966,0.0,0.12927605,0.07387099,1.0,0.04270319,0.2380185,0.4997481,0.38553932,1.0,0.56861603,0.03049582,0.9951959,0.6727317,0.41623962,0.07087126
0.6239562,0.63172185,0.19089332,0.51674813,0.12146534,0.0,0.14887318,0.05203645,0.0,0.2436025,0.44453752,0.8531223,0.41268936,1.0,0.6626557,0.28764647,0.96469,0.3336841,0.08983382,0.13658538
0.4081674,0.30897188,0.3472542,0.4065699,0.051952302,1.0,0.11902711,0.009753958,0.0,0.09419147,0.3329096,0.39836323,0.48933938,0.0,0.65095645,0.5640715,0.014894683,0.1451049,0.3362775,0.03872549
0.41122362,0.14738543,0.38551006,0.37014174,0.05280175,0.0,0.11288448,0.0022513738,0.0,0.051831964,0.40332526,0.53030777,0.45796704,0.0,0.5455284,0.5122639,0.16945025,0.065674245,0.270093,0.04634591
0.3565255,0.09185524,0.3427971,0.3065613,0.09277951,1.0,0.3266799,0.11470866,0.0,0.04142364,0.4143236,0.63972765,0.37187523,0.0,0.45578703,0.46956775,0.011723085,0.29760355,0.39743206,0.4976908
0.48096138,0.32102263,0.8158788,0.42019784,0.15122864,0.0,0.20405425,0.24054746,0.0,0.0430694,0.17797913,0.47510102,0.48924395,0.0,0.3420219,0.55635995,0.3162803,0.10029954,0.34830004,0.1550248
0.5057328,0.2911915,0.24593565,0.6462505,0.052899446,0.0,0.14096384,0.003800132,1.0,0.07325013,0.4295331,0.06552516,0.55277914,0.0,0.6317984,0.6666486,0.2573683,0.15121083,0.43050498,0.04243594
0.34385902,0.1510298,0.67692965,0.5402692,0.07247906,0.0,0.13137655,0.040804468,0.0,0.06906602,0.5608421,0.31074312,0.35475844,0.0,0.54996485,0.5373861,0.01241907,0.06722051,0.29813078,0.067637235
0.52849823,0.12483535,0.8847001,0.37526318,0.3540512,1.0,0.8546511,0.3349673,0.0,0.18068027,0.32410455,0.549256,0.31805092,1.0,0.84331805,0.05696691,0.9999043,0.85592854,0.085919686,0.8468202
0.262481,0.21423534,0.69381434,0.34265324,0.1558658,0.0,0.13173708,0.03361816,1.0,0.060385633,0.78045493,0.6595511,0.629621,0.0,0.64532447,0.7509911,0.0110881375,0.032330584,0.43625972,0.05729499
0.50994045,0.30715,0.67933583,0.4315643,0.46057308,1.0,0.3544173,0.85215425,1.0,0.21795632,0.6509926,0.36829594,0.3123353,1.0,0.5967501,0.039749596,0.9972861,0.75845295,0.12252572,0.07216693
0.69075245,0.31156957,0.18730849,0.72232616,0.052453306,0.0,0.12810993,0.07072644,1.0,0.016303081,0.1570908,0.33884078,0.41006377,0.0,0.48322988,0.46030694,0.625363,0.21786211,0.17404626,0.053422604
0.27971607,0.122059695,0.70581204,0.5110272,0.075092986,0.0,0.13858719,0.6281951,0.0,0.050953608,0.4869188,0.4222535,0.41191643,0.0,0.44867918,0.4026747,0.00097564555,0.0736294,0.29351535,0.051210973
0.5188645,0.23607048,0.56095475,0.33009624,0.44169965,0.0,0.3589776,0.048175097,0.0,0.2167565,0.24917601,0.50618285,0.33135274,1.0,0.6370079,0.019642126,0.99772924,0.58529955,0.2186777,0.59327716
0.6584615,0.5309579,0.50182927,0.51874214,0.12165347,0.0,0.25936607,0.14139242,1.0,0.15135093,0.39120993,0.2657909,0.3976153,1.0,0.5628602,0.058392387,0.99957556,0.9251988,0.049219344,0.12725535
0.40000135,0.2686424,0.13971888,0.617942,0.06539274,0.0,0.22769718,0.004031727,1.0,0.02337722,0.46661222,0.1884802,0.4329489,0.0,0.351324,0.5006652,0.25719467,0.12691951,0.07967294,0.07681175
0.48075217,0.17206116,0.8504128,0.24769145,0.1686181,1.0,0.43215093,0.012314141,0.0,0.1514321,0.597563,0.6359854,0.31796506,1.0,0.5610466,0.0233405,0.999605,0.7760221,0.078817174,0.3801348
0.45848027,0.28180164,0.10483272,0.4059137,0.4837505,0.0,0.3216874,0.11786541,1.0,0.5527601,0.36808473,0.5341328,0.40417168,0.0,0.23523183,0.51555234,0.61484516,0.18759027,0.6070093,0.30668488
0.3739592,0.18808046,0.74500144,0.27804467,0.7417972,1.0,0.7479874,0.96695286,1.0,0.6065934,0.5571897,0.26735154,0.16459283,1.0,0.27375248,0.01682449,0.9998585,0.7318794,0.038012818,0.91160536
0.38278106,0.20299171,0.81205595,0.26762196,0.25400782,0.0,0.595917,0.52950466,1.0,0.15282592,0.2690232,0.33844778,0.21963318,1.0,0.15963739,0.021981185,0.9993303,0.5134983,0.014756491,0.79539394
0.43349102,0.11093385,0.23760936,0.40584874,0.07668753,0.0,0.15993308,0.12262932,0.0,0.07171458,0.3387636,0.108278565,0.47015515,0.0,0.55996585,0.15381913,0.23728684,0.09251313,0.21758497,0.059260197
