AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0.48326963,0.24099123,0.50234437,0.33862478,0.5381296,1.0,0.5296,0.033522625,0.0,0.5063182,0.40979457,0.13818946,0.19673538,1.0,0.34527302,0.013128442,0.9977943,0.40100414,0.06476155,0.30563772
0.43957582,0.18135956,0.2561083,0.27002147,0.095834516,1.0,0.32968807,0.0013160645,1.0,0.044133488,0.3299426,0.16786301,0.4779228,0.0,0.25089654,0.19712152,0.026070012,0.0955663,0.07191633,0.11115268
0.17581931,0.16552533,0.53857607,0.27477363,0.6637742,1.0,0.60824287,0.114532456,1.0,0.73363924,0.3134854,0.3216268,0.39402568,1.0,0.25862026,0.4179184,0.9921295,0.47914243,0.024759099,0.5618158
0.49225396,0.43397498,0.5733489,0.43391922,0.15983804,0.0,0.34819973,0.0074082823,0.0,0.16021669,0.22975221,0.15071262,0.3409686,0.0,0.6085048,0.17731272,0.6970929,0.17712975,0.3153622,0.23424171
0.44280875,0.3761819,0.7772867,0.29171658,0.24465011,1.0,0.39742702,0.013133465,0.0,0.24489291,0.25570986,0.40372798,0.40209457,1.0,0.57321435,0.28832144,0.9290437,0.13178606,0.2571398,0.35958624
0.28379008,0.28541905,0.29506397,0.42252898,0.11420167,1.0,0.49570692,0.27120256,0.0,0.096747205,0.64429396,0.31020188,0.40092352,1.0,0.6078871,0.44606817,0.97152495,0.13716193,0.5839864,0.22005014
0.41865748,0.18845475,0.12195416,0.40421993,0.24456087,0.0,0.26016444,0.0019411563,1.0,0.083216004,0.44812712,0.57520443,0.4554003,0.0,0.50837135,0.48610842,0.014521671,0.043346327,0.13801956,0.11558416
0.3607989,0.2675444,0.63087136,0.3266821,0.30785695,1.0,0.47044703,0.9435458,0.0,0.31940612,0.43279073,0.12640174,0.38671723,0.0,0.7623471,0.23335522,0.48159087,0.14967072,0.3023098,0.49644396
0.3460771,0.33238453,0.40028366,0.33897808,0.21943648,1.0,0.3857398,0.12870379,0.0,0.2879774,0.19387913,0.22336878,0.3381472,0.0,0.46562082,0.25577772,0.616058,0.17824404,0.15692316,0.476238
0.26623014,0.14524966,0.7832851,0.28195888,0.29296333,0.0,0.4981144,0.98059285,0.0,0.15246706,0.43281177,0.2018163,0.42426503,0.0,0.19554988,0.4213811,0.22822115,0.073920876,0.16654785,0.135772
0.4010314,0.2373254,0.70182556,0.30701166,0.4959789,1.0,0.4856415,0.9501812,1.0,0.36351898,0.40516376,0.2477582,0.25841656,1.0,0.74279207,0.042175777,0.9996331,0.7315366,0.04207138,0.69527084
0.25690922,0.24982214,0.90506786,0.23484474,0.43596599,0.0,0.3753816,0.03339478,1.0,0.5834003,0.40676448,0.39212152,0.33033222,1.0,0.47899538,0.07374104,0.9974511,0.6734442,0.018415567,0.6577493
