Frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.33928838,0.41840047,0.42689186,0.27962086,0.2260608,0.0,0.38039854,0.01780118,0.0,0.14870708,0.34735417,0.392794,0.5007746,0.0,0.2359355,0.7905513,0.087036274,0.15045385,0.44565943,0.6138531
60,0.5206458,0.49166644,0.40217,0.2494304,0.18042454,0.0,0.28455386,0.10577204,1.0,0.07496332,0.41647008,0.58486974,0.42282286,0.0,0.49643642,0.67451054,0.2676306,0.09100258,0.20621438,0.6022524
120,0.25219274,0.062816575,0.6676248,0.3189274,0.16435827,0.0,0.6270292,0.07833407,1.0,0.034910098,0.38813278,0.48273563,0.46953505,0.0,0.503555,0.6054523,0.025963767,0.038137585,0.2224976,0.40147406
180,0.5267608,0.436874,0.42014086,0.2717397,0.14441955,0.0,0.29516596,0.031176658,1.0,0.037283123,0.17332089,0.52298605,0.51694417,0.0,0.4259424,0.64744467,0.011011852,0.026250547,0.18976359,0.786634
240,0.37895525,0.23551387,0.19042361,0.25534183,0.7092359,1.0,0.5956326,0.9650572,0.0,0.9062477,0.8486284,0.60303366,0.631796,0.0,0.7983339,0.80486023,0.004845805,0.024792228,0.7891127,0.39866906
300,0.32145333,0.36080095,0.3604882,0.35236883,0.15466626,0.0,0.17135976,0.0056756693,0.0,0.03000384,0.16520447,0.7668776,0.4016376,0.0,0.39903447,0.61353594,0.024043385,0.033907007,0.21746477,0.27528554
360,0.40847775,0.22432713,0.3484352,0.39436385,0.11677454,0.0,0.2151362,0.15541577,0.0,0.07291341,0.2323814,0.5986311,0.40980852,0.0,0.46872237,0.6535635,0.008699003,0.030536748,0.3088945,0.4936946
420,0.6613483,0.43199697,0.5547287,0.392177,0.28811038,1.0,0.37418216,0.00337479,1.0,0.10410396,0.39098608,0.19438636,0.5692985,0.0,0.43658724,0.7104334,0.06705418,0.026093772,0.26059133,0.5893743
480,0.7229335,0.5561207,0.3674184,0.36218128,0.3819094,1.0,0.39261922,0.9045123,0.0,0.22011766,0.50835854,0.2502051,0.49469024,0.0,0.52682376,0.66616064,0.1350625,0.045932207,0.40565005,0.8289519
540,0.6818436,0.43779653,0.48502582,0.34178782,0.36904985,0.0,0.4012844,0.33958155,0.0,0.13177216,0.58973074,0.37685052,0.4740222,1.0,0.5359176,0.75737673,0.4820352,0.026759965,0.44951558,0.7662023
600,0.5703632,0.4418715,0.61817557,0.41352317,0.20832163,1.0,0.21256855,0.21112652,0.0,0.15813114,0.4979037,0.61276513,0.5222453,1.0,0.80581343,0.8028381,0.012914253,0.086635835,0.4772954,0.28827175
660,0.7000834,0.50937545,0.6470813,0.32907972,0.1948093,0.0,0.5490842,0.003063302,0.0,0.059145767,0.38081658,0.5660853,0.63697416,1.0,0.5136369,0.49512175,0.034933858,0.34490973,0.60179126,0.42130202
720,0.70532763,0.53676426,0.36236438,0.33649603,0.4900371,1.0,0.42747104,0.22976027,0.0,0.314933,0.6149316,0.44827175,0.567948,0.0,0.6519444,0.72653496,0.06652082,0.4627292,0.4878769,0.89314586
780,0.7546074,0.31563193,0.817101,0.3279578,0.10773265,0.0,0.27519435,0.039399013,0.0,0.025869925,0.0812369,0.3905839,0.5093506,0.0,0.56197375,0.35226768,0.1414711,0.19912285,0.36485913,0.65933007
840,0.34265247,0.34146938,0.78762025,0.30170625,0.066181175,0.0,0.3177808,0.05633358,1.0,0.01535373,0.114236064,0.7326592,0.5314057,0.0,0.7228822,0.29963362,0.008083446,0.22753876,0.18939991,0.8800122
900,0.27606505,0.21557398,0.6720722,0.45284247,0.10115431,0.0,0.27876908,0.0056335763,1.0,0.05206501,0.4139585,0.8205381,0.48003128,0.0,0.7446995,0.67199755,0.008965499,0.02790272,0.56892747,0.1732459
960,0.27435613,0.08176177,0.5110014,0.48134145,0.09360823,0.0,0.116079725,0.1997044,1.0,0.031084483,0.62371993,0.73981655,0.446938,0.0,0.78561807,0.88517886,0.001771537,0.040062007,0.4268748,0.041580223
1020,0.47231716,0.12862262,0.5195841,0.32145992,0.17317504,0.0,0.23340766,0.20879306,1.0,0.038154677,0.4461911,0.6786276,0.4700779,0.0,0.77482027,0.6917384,0.005054873,0.026322413,0.14032345,0.15827745
1080,0.48923448,0.26346892,0.4567654,0.44664273,0.19494575,0.0,0.15564129,0.23625016,1.0,0.06939642,0.28597546,0.6298944,0.43218312,0.0,0.66904604,0.524865,0.0014732771,0.02783948,0.15936238,0.04810126
1140,0.38941383,0.23072076,0.528818,0.3238016,0.24749215,0.0,0.52582526,0.19272704,1.0,0.17894155,0.4384137,0.752123,0.5383187,0.0,0.78453755,0.86812115,0.0010938711,0.06589484,0.56292117,0.87544113
